Key,Host_Key,Distrito,Barrio,Tipo_Inmueble,Precio,Min_Nights,Anuncios_Totales_del_Host,Capacidad,Dormitorios,Camas,Baños,Precio/Capacidad
942524,4813585,Casco_Antiguo,San Gil,Inmueble_Completo,192,2,23,8.0,3.0,5.0,2.0,24.0
948514,4502723,Casco_Antiguo,San Vicente,Inmueble_Completo,158,1,6,4.0,2.0,4.0,1.0,39.5
426133,2118460,Triana,Triana Casco Antiguo,Inmueble_Completo,65,3,4,3.0,,2.0,1.0,21.666666666666668
951283,5160972,Triana,Triana Oeste,Inmueble_Completo,68,2,2,6.0,2.0,4.0,1.0,11.333333333333334
426401,2120026,Casco_Antiguo,Museo,Inmueble_Completo,92,2,2,4.0,1.0,4.0,1.0,23.0
727016,2124038,Casco_Antiguo,Museo,Inmueble_Completo,209,2,7,6.0,2.0,4.0,2.0,34.833333333333336
727034,2124038,Casco_Antiguo,Museo,Inmueble_Completo,192,2,7,10.0,3.0,6.0,,19.2
427314,2124038,Casco_Antiguo,Museo,Inmueble_Completo,271,2,7,10.0,3.0,6.0,3.0,27.1
435402,2162363,Casco_Antiguo,"Encarnación, Regina",Inmueble_Completo,61,3,1,3.0,1.0,1.0,1.0,20.333333333333332
954305,4696783,Casco_Antiguo,San Julián,Inmueble_Completo,103,2,5,4.0,1.0,2.0,1.0,25.75
443685,2204184,Casco_Antiguo,Arenal,Inmueble_Completo,109,14,11,4.0,1.0,4.0,,27.25
730950,3802491,Casco_Antiguo,Alfalfa,Inmueble_Completo,77,2,2,4.0,1.0,2.0,1.0,19.25
455380,2263272,Casco_Antiguo,Feria,Inmueble_Completo,189,1,1,6.0,2.0,3.0,2.0,31.5
738380,3858271,Casco_Antiguo,San Gil,Inmueble_Completo,100,3,2,2.0,1.0,1.0,1.0,50.0
982057,3173171,Casco_Antiguo,Alfalfa,Inmueble_Completo,94,2,29,3.0,1.0,2.0,1.0,31.333333333333332
