Key,Fecha_Encuentro,Host_Key,Tipo_Inmueble,Dormitorios,Capacidad,Min_Nights,Precio,Distrito,Barrio,Precio/Capacidad
16698303,2017-08-14,82803895,Habitacion_Privada,2.0,3.0,1.0,20.0,San_Pablo_Santa_Justa,San_Pablo_C,6.666666666666667
23951322,2018-05-05,75252239,Inmueble_Completo,4.0,4.0,2.0,67.0,San_Pablo_Santa_Justa,San_Pablo_D_Y_E,16.75
16804426,2017-08-14,30367930,Inmueble_Completo,2.0,4.0,2.0,40.0,San_Pablo_Santa_Justa,San_Pablo_D_Y_E,10.0
14958888,2017-08-14,9445403,Habitacion_Privada,1.0,1.0,1.0,21.0,San_Pablo_Santa_Justa,San_Pablo_D_Y_E,21.0
18467687,2017-08-14,16543266,Inmueble_Completo,3.0,6.0,2.0,90.0,San_Pablo_Santa_Justa,San_Pablo_D_Y_E,15.0
24956465,2018-05-25,22814168,Inmueble_Completo,2.0,4.0,2.0,48.0,San_Pablo_Santa_Justa,San_Pablo_D_Y_E,12.0
17869720,2017-08-14,16666947,Habitacion_Privada,1.0,2.0,3.0,60.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,30.0
1789498,2017-08-14,9385850,Habitacion_Privada,1.0,1.0,1.0,24.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,24.0
18035371,2017-08-14,123911082,Habitacion_Privada,1.0,1.0,2.0,34.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,34.0
12054863,2018-05-26,64563381,Inmueble_Completo,4.0,8.0,1.0,157.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,19.625
14578774,2018-05-26,64563381,Inmueble_Completo,3.0,6.0,1.0,88.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,14.666666666666666
12054846,2018-05-26,64563381,Inmueble_Completo,2.0,4.0,3.0,103.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,25.75
6245213,2017-08-14,10950734,Inmueble_Completo,2.0,4.0,2.0,91.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,22.75
1039004,2017-08-14,5720107,Inmueble_Completo,2.0,6.0,1.0,60.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,10.0
18020277,2017-08-14,123911082,Habitacion_Privada,1.0,2.0,2.0,51.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,25.5
905156,2017-08-14,4839516,Inmueble_Completo,3.0,6.0,2.0,84.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,14.0
10093407,2017-08-14,51793005,Habitacion_Privada,1.0,2.0,1.0,32.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,16.0
18104148,2017-08-14,109222278,Inmueble_Completo,1.0,3.0,2.0,85.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,28.333333333333332
18937890,2017-08-14,11053011,Habitacion_Privada,2.0,2.0,2.0,21.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,10.5
17108333,2017-08-14,114876351,Inmueble_Completo,1.0,3.0,1.0,41.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,13.666666666666666
18924654,2017-08-14,11053011,Habitacion_Privada,2.0,1.0,2.0,20.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,20.0
13932083,2017-08-14,82797754,Habitacion_Privada,1.0,2.0,1.0,15.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,7.5
13937479,2017-08-14,82797754,Habitacion_Privada,1.0,2.0,1.0,15.0,San_Pablo_Santa_Justa,Carretera_De_Carmona_Maria_Auxiliadora_Fontanal,7.5
23309539,2018-05-05,165418907,Habitacion_Privada,1.0,1.0,1.0,20.0,Triana,El_Tardon_El_Carmen,20.0
11977897,2017-08-14,18650371,Habitacion_Privada,1.0,1.0,1.0,20.0,Triana,El_Tardon_El_Carmen,20.0
11815475,2017-08-14,48179428,Inmueble_Completo,3.0,5.0,2.0,75.0,Triana,El_Tardon_El_Carmen,15.0
15920175,2017-08-14,102747388,Habitacion_Privada,1.0,1.0,7.0,30.0,Triana,El_Tardon_El_Carmen,30.0
20431886,2017-08-14,138017367,Habitacion_Privada,2.0,4.0,1.0,18.0,Triana,El_Tardon_El_Carmen,4.5
23513367,2018-05-25,112197468,Inmueble_Completo,2.0,5.0,2.0,143.0,Triana,El_Tardon_El_Carmen,28.6
